ActivityId,Type,Name,Website,Google_Map_Link,Total_reviews,ImageCount
Kyoto-1155,Historical landmark,Site of Fushimi Ginza,https://www2.city.kyoto.lg.jp/somu/rekishi/fm/ishibumi/html/hu041.html,"https://www.google.com/maps/place/Site+of+Fushimi+Ginza/@34.9330279,135.7639786,17z/data=!4m15!1m8!3m7!1s0x60010f93cd4e518b:0x71534c78d441b76e!2sSite+of+Fushimi+Ginza!8m2!3d34.9330279!4d135.7639786!10e1!16s%2Fg%2F11bx55ldvy!3m5!1s0x60010f93cd4e518b:0x71534c78d441b76e!8m2!3d34.9330279!4d135.7639786!16s%2Fg%2F11bx55ldvy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",10,0
Kyoto-1156,Historical landmark,Grand Staircase,,"https://www.google.com/maps/place/Grand+Staircase/@34.9346849,135.7815006,17z/data=!4m15!1m8!3m7!1s0x60010f43ae4e6c33:0xc49886898b9cba36!2sGrand+Staircase!8m2!3d34.9346849!4d135.7815006!10e1!16s%2Fg%2F11rz2gb0jn!3m5!1s0x60010f43ae4e6c33:0xc49886898b9cba36!8m2!3d34.9346849!4d135.7815006!16s%2Fg%2F11rz2gb0jn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",69,0
Kyoto-1157,Shinto shrine,Ichinomine(Kamisha shinseki),http://inari.jp/sp/map/spot_10/,"https://www.google.com/maps/place/Ichinomine(Kamisha+shinseki)/@34.9671228,135.7855151,17z/data=!4m15!1m8!3m7!1s0x60010f1c9bd7ecf9:0x2ea14954816f15dd!2sIchinomine(Kamisha+shinseki)!8m2!3d34.9671228!4d135.7855151!10e1!16s%2Fg%2F11bc713fsg!3m5!1s0x60010f1c9bd7ecf9:0x2ea14954816f15dd!8m2!3d34.9671228!4d135.7855151!16s%2Fg%2F11bc713fsg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",703,0
Kyoto-1158,Shinto shrine,Okusha Worship Center of Fushimi Inari Shrine,http://inari.jp/sp/map/spot_08/,"https://www.google.com/maps/place/Okusha+Worship+Center+of+Fushimi+Inari+Shrine/@34.9665555,135.7756342,17z/data=!4m15!1m8!3m7!1s0x60010f141ea95555:0x7ea392f279d5ac64!2sOkusha+Worship+Center+of+Fushimi+Inari+Shrine!8m2!3d34.9665555!4d135.7756342!10e1!16s%2Fg%2F11bzpk3qyw!3m5!1s0x60010f141ea95555:0x7ea392f279d5ac64!8m2!3d34.9665555!4d135.7756342!16s%2Fg%2F11bzpk3qyw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",135,2
Kyoto-1159,Shinto shrine,Mitsurugisha (Chojasha Shinseki),http://inari.jp/map/spot_14/,"https://www.google.com/maps/place/Mitsurugisha+(Chojasha+Shinseki)/@34.9687485,135.7859412,17z/data=!4m15!1m8!3m7!1s0x60010f1c70f90c57:0xfd59ef3c9adeb7c8!2sMitsurugisha+(Chojasha+Shinseki)!8m2!3d34.9687485!4d135.7859412!10e1!16s%2Fg%2F11csrqpqks!3m5!1s0x60010f1c70f90c57:0xfd59ef3c9adeb7c8!8m2!3d34.9687485!4d135.7859412!16s%2Fg%2F11csrqpqks?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",72,0
Kyoto-1160,Historical landmark,三栖閘門,https://committees.jsce.or.jp/heritage/node/615,"https://www.google.com/maps/place/%E4%B8%89%E6%A0%96%E9%96%98%E9%96%80/@34.9230817,135.7560861,17z/data=!4m15!1m8!3m7!1s0x60010ff3842481ab:0x61e86f5706f94185!2z5LiJ5qCW6ZaY6ZaA!8m2!3d34.9230817!4d135.7560861!10e1!16s%2Fg%2F11c2d4__zn!3m5!1s0x60010ff3842481ab:0x61e86f5706f94185!8m2!3d34.9230817!4d135.7560861!16s%2Fg%2F11c2d4__zn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",53,1
Kyoto-1161,Historical landmark,Jesuit Fushimi church site,,"https://www.google.com/maps/place/Jesuit+Fushimi+church+site/@34.9291814,135.762318,17z/data=!4m15!1m8!3m7!1s0x60010f92bba0738b:0x6c196a8c8882f33c!2sJesuit+Fushimi+church+site!8m2!3d34.9291814!4d135.762318!10e1!16s%2Fg%2F11dx912ykz!3m5!1s0x60010f92bba0738b:0x6c196a8c8882f33c!8m2!3d34.9291814!4d135.762318!16s%2Fg%2F11dx912ykz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",6,0
Kyoto-1162,Historical landmark,Akechi-yabu,,"https://www.google.com/maps/place/Akechi-yabu/@34.947468,135.8022682,17z/data=!4m15!1m8!3m7!1s0x60010fd9138ddead:0x88b26011cba9bc7a!2sAkechi-yabu!8m2!3d34.947468!4d135.8022682!10e1!16s%2Fg%2F11rcbp4sfl!3m5!1s0x60010fd9138ddead:0x88b26011cba9bc7a!8m2!3d34.947468!4d135.8022682!16s%2Fg%2F11rcbp4sfl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",44,0
Kyoto-1163,Historical landmark,明治天皇 伏見桃山陵拝所,,"https://www.google.com/maps/place/%E6%98%8E%E6%B2%BB%E5%A4%A9%E7%9A%87+%E4%BC%8F%E8%A6%8B%E6%A1%83%E5%B1%B1%E9%99%B5%E6%8B%9D%E6%89%80/@34.934009,135.7815984,17z/data=!4m15!1m8!3m7!1s0x60010fa465d9fead:0x6203e6462801960b!2z5piO5rK75aSp55qHIOS8j-imi-ahg-WxsemZteaLneaJgA!8m2!3d34.934009!4d135.7815984!10e1!16s%2Fg%2F11h5_tzh_g!3m5!1s0x60010fa465d9fead:0x6203e6462801960b!8m2!3d34.934009!4d135.7815984!16s%2Fg%2F11h5_tzh_g?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",19,0
Kyoto-1164,Technology museum,Misu Lock Gate Museum,https://www.kkr.mlit.go.jp/yodogawa/shisetu/misu-museum/,"https://www.google.com/maps/place/Misu+Lock+Gate+Museum/@34.9233946,135.756337,17z/data=!4m15!1m8!3m7!1s0x60010ff47d437643:0x7464897841cac385!2sMisu+Lock+Gate+Museum!8m2!3d34.9233946!4d135.756337!10e1!16s%2Fg%2F12m9dgdz8!3m5!1s0x60010ff47d437643:0x7464897841cac385!8m2!3d34.9233946!4d135.756337!16s%2Fg%2F12m9dgdz8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",138,0
Kyoto-1165,Tourist attraction,Fushimi-Momoyama Castle Front Gate,,"https://www.google.com/maps/place/Fushimi-Momoyama+Castle+Front+Gate/@34.9384622,135.7768975,17z/data=!4m15!1m8!3m7!1s0x60010f5216a06115:0x19259ba18ce25abf!2sFushimi-Momoyama+Castle+Front+Gate!8m2!3d34.9384622!4d135.7768975!10e1!16s%2Fg%2F11v5f9l6ny!3m5!1s0x60010f5216a06115:0x19259ba18ce25abf!8m2!3d34.9384622!4d135.7768975!16s%2Fg%2F11v5f9l6ny?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",13,0
Kyoto-1166,Historical landmark,"Site of Main Bailey, Mukaijima Castle",https://www.kyoto-be.ne.jp/bunkazai/cms/?p=2276,"https://www.google.com/maps/place/Site+of+Main+Bailey,+Mukaijima+Castle/@34.9238908,135.7707845,17z/data=!4m15!1m8!3m7!1s0x60010fe7fd7ff5fd:0x5326ac778af2275d!2sSite+of+Main+Bailey,+Mukaijima+Castle!8m2!3d34.9238908!4d135.7707845!10e1!16s%2Fg%2F11c54_xwk3!3m5!1s0x60010fe7fd7ff5fd:0x5326ac778af2275d!8m2!3d34.9238908!4d135.7707845!16s%2Fg%2F11c54_xwk3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",12,0
Kyoto-1167,Historical landmark,会津藩駐屯地跡(伏見御堂) 石碑,https://www2.city.kyoto.lg.jp/somu/rekishi/fm/ishibumi/html/hu158.html,"https://www.google.com/maps/place/%E4%BC%9A%E6%B4%A5%E8%97%A9%E9%A7%90%E5%B1%AF%E5%9C%B0%E8%B7%A1(%E4%BC%8F%E8%A6%8B%E5%BE%A1%E5%A0%82)+%E7%9F%B3%E7%A2%91/@34.9317573,135.7618332,17z/data=!4m15!1m8!3m7!1s0x60010f0050328d15:0x8240020118cce615!2z5Lya5rSl6Jep6aeQ5bGv5Zyw6LehKOS8j-imi-W-oeWggikg55-z56KR!8m2!3d34.9317573!4d135.7618332!10e1!16s%2Fg%2F11vpqmv0p1!3m5!1s0x60010f0050328d15:0x8240020118cce615!8m2!3d34.9317573!4d135.7618332!16s%2Fg%2F11vpqmv0p1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",6,0
